	sample_id	strain	project	condition	notes	run	ReleaseDate	Type	sequencing_run	LibraryLayout	Platform	R1	R2	skip	reference_condition	passed_fastqc	passed_contamination_check	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
587-MSGpH9	587-MSGpH9	J1074	PRECISE	MSG pH 9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/587_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/587_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:MSG pH 9	True
589-MSGpH9	589-MSGpH9	J1074	PRECISE	MSG pH 9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/589_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/589_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:MSG pH 9	True
590-ISP2pH9	590-ISP2pH9	J1074	PRECISE	ISP2 pH 9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/590_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/590_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:ISP2 pH 9	True
591-ISP2pH9	591-ISP2pH9	J1074	PRECISE	ISP2 pH 9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/591_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/591_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:ISP2 pH 9	True
594-ISP25NaCl	594-ISP25NaCl	J1074	PRECISE	ISP2 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/594_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/594_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:ISP2 5% NaCl	True
595-ISP25NaCl	595-ISP25NaCl	J1074	PRECISE	ISP2 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/595_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/595_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:ISP2 5% NaCl	True
596-MSG5NaCl	596-MSG5NaCl	J1074	PRECISE	MSG 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/596_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/596_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:MSG 5% NaCl	True
598-MSG5NaCl	598-MSG5NaCl	J1074	PRECISE	MSG 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/598_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/598_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:MSG 5% NaCl	True
599-ISP27NaCl	599-ISP27NaCl	J1074	PRECISE	ISP2 7% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/599_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/599_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:ISP2 7% NaCl	True
601-ISP27NaCl	601-ISP27NaCl	J1074	PRECISE	ISP2 7% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/601_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/601_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:ISP2 7% NaCl	True
602-Ribose	602-Ribose	J1074	PRECISE	Ribose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/602_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/602_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:Ribose	True
604-Ribose	604-Ribose	J1074	PRECISE	Ribose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/604_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/604_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:Ribose	True
644-Proline	644-Proline	J1074	PRECISE	Proline	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/644_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/644_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:Proline	True
646-Proline	646-Proline	J1074	PRECISE	Proline	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/646_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/646_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:Proline	True
650-Glycerol	650-Glycerol	J1074	PRECISE	Glycerol	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/650_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/650_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:Glycerol	True
651-Glycerol	651-Glycerol	J1074	PRECISE	Glycerol	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/651_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/651_R2_001.fastq.gz	False	control	True	True	True	True	PRECISE:Glycerol	True
SRR25592590	SRR25592590	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592590_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592590_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_70h	True
SRR25592591	SRR25592591	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592591_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592591_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_70h	True
SRR25592592	SRR25592592	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592592_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592592_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_70h	True
SRR25592593	SRR25592593	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592593_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592593_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_46h	True
SRR25592594	SRR25592594	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592594_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592594_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_46h	True
SRR25592595	SRR25592595	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592595_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592595_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_46h	True
SRR25592596	SRR25592596	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592596_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592596_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_12h	True
SRR25592597	SRR25592597	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592597_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592597_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_12h	True
SRR25592598	SRR25592598	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592598_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592598_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::tkt_12h	True
SRR25592599	SRR25592599	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592599_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592599_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_70h	True
SRR25592600	SRR25592600	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592600_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592600_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_70h	True
SRR25592601	SRR25592601	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592601_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592601_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_70h	True
SRR25592602	SRR25592602	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592602_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592602_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_46h	True
SRR25592603	SRR25592603	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592603_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592603_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_46h	True
SRR25592604	SRR25592604	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592604_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592604_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_46h	True
SRR25592605	SRR25592605	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592605_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592605_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_12h	True
SRR25592606	SRR25592606	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592606_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592606_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_12h	True
SRR25592607	SRR25592607	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592607_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592607_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:DnybW PkasOP::nybF::zwf2_12h	True
SRR25592608	SRR25592608	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592608_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592608_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_70h	True
SRR25592609	SRR25592609	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592609_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592609_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_70h	True
SRR25592610	SRR25592610	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592610_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592610_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_70h	True
SRR25592611	SRR25592611	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592611_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592611_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_46h	True
SRR25592612	SRR25592612	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592612_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592612_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_46h	True
SRR25592613	SRR25592613	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592613_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592613_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_46h	True
SRR25592614	SRR25592614	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592614_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592614_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_12h	True
SRR25592615	SRR25592615	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592615_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592615_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_12h	True
SRR25592616	SRR25592616	Del14-4N24 PkasOP::nybF::zwf2	PRJNA1003853	PkasOP::nybF::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592616_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592616_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::nybF::zwf2_12h	True
SRR25592617	SRR25592617	Del14-4N24 PkasOP::zwf2	PRJNA1003853	PkasOP::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592617_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592617_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::zwf2_70h	True
SRR25592618	SRR25592618	Del14-4N24 PkasOP::zwf2	PRJNA1003853	PkasOP::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592618_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592618_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::zwf2_70h	True
SRR25592619	SRR25592619	Del14-4N24 PkasOP::zwf2	PRJNA1003853	PkasOP::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592619_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592619_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::zwf2_70h	True
SRR25592620	SRR25592620	Del14-4N24 PkasOP::zwf2	PRJNA1003853	PkasOP::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592620_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592620_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::zwf2_12h	True
SRR25592621	SRR25592621	Del14-4N24 PkasOP::zwf2	PRJNA1003853	PkasOP::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592621_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592621_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::zwf2_12h	True
SRR25592622	SRR25592622	Del14-4N24 PkasOP::zwf2	PRJNA1003853	PkasOP::zwf2_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592622_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592622_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:PkasOP::zwf2_12h	True
SRR25592623	SRR25592623	Del14-4N24	PRJNA1003853	Del14-4N24_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592623_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592623_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:Del14-4N24_70h	True
SRR25592624	SRR25592624	Del14-4N24	PRJNA1003853	Del14-4N24_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592624_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592624_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:Del14-4N24_70h	True
SRR25592625	SRR25592625	Del14-4N24	PRJNA1003853	Del14-4N24_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592625_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592625_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:Del14-4N24_70h	True
SRR25592626	SRR25592626	Del14-4N24	PRJNA1003853	Del14-4N24_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592626_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592626_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:Del14-4N24_12h	True
SRR25592627	SRR25592627	Del14-4N24	PRJNA1003853	Del14-4N24_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592627_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592627_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:Del14-4N24_12h	True
SRR25592628	SRR25592628	Del14-4N24	PRJNA1003853	Del14-4N24_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592628_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592628_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True	PRJNA1003853:Del14-4N24_12h	True
SRX10298353	gp_5h_control_1	J1074/R2	PRJNA708335	gp_5h_control			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918880_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918880_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:gp_5h_control	True
SRX10298354	gp_5h_control_2	J1074/R2	PRJNA708335	gp_5h_control			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918881_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918881_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:gp_5h_control	True
SRX10298355	gp_5h_control_3	J1074/R2	PRJNA708335	gp_5h_control			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918882_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918882_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:gp_5h_control	True
SRX10298356	pp_20h_control_1	J1074/R2	PRJNA708335	pp_20h_control			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918883_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918883_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:pp_20h_control	True
SRX10298357	pp_20h_control_2	J1074/R2	PRJNA708335	pp_20h_control			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918884_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918884_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:pp_20h_control	True
SRX10298358	pp_20h_control_3	J1074/R2	PRJNA708335	pp_20h_control			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918885_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918885_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:pp_20h_control	True
SRX10298359	gp_5h_1	J1074/R2	PRJNA708335	gp_5h_L_valanine			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918886_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918886_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:gp_5h_L_valanine	True
SRX10298360	gp_5h_2	J1074/R2	PRJNA708335	gp_5h_L_valanine			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918887_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918887_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:gp_5h_L_valanine	True
SRX10298361	gp_5h_3	J1074/R2	PRJNA708335	gp_5h_L_valanine			14/01/2020	public	PRJNA708335	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/SRR13918888_1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/SRR13918888_2.fastq.gz	False	gp_5h_control	True	True	True	True	PRJNA708335:gp_5h_L_valanine	True
